"Job Id","Date Initially Published","Occupation Name","Specialty Name",Country,State,City,"Job Title","Job Number","Candidate Contact","Job Status","Job Link",Site,"Views Count","Applications Count"
19443350,8/22/24,Physician,Gastroenterology,"United States","New York","Forest Hills","Gastroenterologist - Multiple locations to include Nassau County, Queens and Suffolk County",J-100,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/gastroenterology/19443350/gastroenterologist-multiple-locations-to-include-nassau-county-queens-and-suffolk-county,DocCafe,269,4
19443357,8/22/24,Physician,Radiology-Interventional,"United States",Montana,,"Radiologist - Diagnostic & IR",J-67,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/radiology-interventional/19443357/radiologist-diagnostic-ir,DocCafe,213,0
19452231,8/27/24,Physician,"Obstetrics & Gynecology","United States","New York",,"Obstetrician/Gynecologist (OB/GYN)",,shari.hoffman@becastaffing.com,archived,https://www.doccafe.com/job/physician/obstetrics-gynecology/19452231/obstetrician-gynecologist-ob-gyn,DocCafe,51,0
19458630,8/29/24,Physician,Gastroenterology,"United States","New York",,"Gastroenterologist - Hudson Valley, NY",,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/gastroenterology/19458630/gastroenterologist-hudson-valley-ny,DocCafe,242,1
19458646,8/29/24,Physician,Gastroenterology,"United States",Arkansas,"Mountain Home","Gastroentolerogist - Great opportunity in a beautiful community",,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/gastroenterology/19458646/gastroentolerogist-great-opportunity-in-a-beautiful-community,DocCafe,296,0
19471032,9/04/24,Physician,Gastroenterology,"United States",Minnesota,,"GI Hospitalist",,shari.hoffman@becastaffing.com,archived,https://www.doccafe.com/job/physician/gastroenterology/19471032/gi-hospitalist,DocCafe,34,0
19474570,9/05/24,Physician,"Emergency Medicine","United States",Arizona,,"Emergency Medicine  AZ",,shari.hoffman@becastaffing.com,archived,https://www.doccafe.com/job/physician/emergency-medicine/19474570/emergency-medicine-az,DocCafe,37,0
19482080,9/09/24,Physician,"Obstetrics & Gynecology","United States",Michigan,,"OB/GYN physician opportunity",,shari.hoffman@becastaffing.com,archived,https://www.doccafe.com/job/physician/obstetrics-gynecology/19482080/ob-gyn-physician-opportunity,DocCafe,32,0
19485614,9/10/24,Physician,"Obstetrics & Gynecology","United States",Montana,Glasgow,"OB/GYN physician unique opportunity",J-35,shari.hoffman@becastaffing.com,archived,https://www.doccafe.com/job/physician/obstetrics-gynecology/19485614/ob-gyn-physician-unique-opportunity,DocCafe,38,0
19516934,9/20/24,Midwife,Obstetrics,"United States",Virginia,Charlottesville,"Certified Nurse Midwife - VA",j-331,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/midwife/obstetrics/19516934/certified-nurse-midwife-va,DocCafe,302,5
19516937,9/20/24,Physician,"Obstetrics & Gynecology","United States",Virginia,Charlottesville,"Obstetrician/Gynecologist (OB/GYN)",J-265,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/obstetrics-gynecology/19516937/obstetrician-gynecologist-ob-gyn,DocCafe,229,0
19527702,9/25/24,Physician,"Obstetrics & Gynecology","United States",Arkansas,"Mountain Home","OB/GYN Opportunity in Beautiful Arkansas",j-364,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/obstetrics-gynecology/19527702/ob-gyn-opportunity-in-beautiful-arkansas,DocCafe,176,0
19527829,9/25/24,Physician,Endocrinology,"United States",Arkansas,"Mountain Home","Endocrinologist in beautiful Arkansas",j-397,Carrie.Weeks@BECAStaffing.com,inactive,https://www.doccafe.com/job/physician/endocrinology/19527829/endocrinologist-in-beautiful-arkansas,DocCafe,204,0
19534151,10/04/24,Physician,Radiology,"United States",Arkansas,"Mountain Home","Diagnostic Radiologist or Interventional Radiologist - Remote Available",j-430,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/radiology/19534151/diagnostic-radiologist-or-interventional-radiologist-remote-available,DocCafe,331,0
19534198,10/04/24,Physician,Nephrology,"United States",Arkansas,"Mountain Home","Nephrology Opportunity in the Beautiful Ozarks",j-463,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/nephrology/19534198/nephrology-opportunity-in-the-beautiful-ozarks,DocCafe,206,2
19534201,10/04/24,Physician,Anesthesiology,"United States",Arkansas,"Mountain Home","Anesthesiologist Opportunity in Beautiful Arkansas",j-496,shari.hoffman@becastaffing.com,archived,https://www.doccafe.com/job/physician/anesthesiology/19534201/anesthesiologist-opportunity-in-beautiful-arkansas,DocCafe,141,0
19534478,10/04/24,Physician,Urology,"United States",Arkansas,"Mountain Home","Urology Opportunity in Mountain Home, AR",j-529,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/urology/19534478/urology-opportunity-in-mountain-home-ar,DocCafe,181,0
19534532,10/04/24,Physician,"Pulmonology-Critical Care","United States",Arkansas,"Mountain Home","Pulmonary/CC Physician Needed in Beautiful North Central Arkansas",j-562,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/pulmonology-critical-care/19534532/pulmonary-cc-physician-needed-in-beautiful-north-central-arkansas,DocCafe,200,1
19534567,10/04/24,Physician,"Family Practice-Without OB","United States",Arkansas,"Mountain Home","Outpatient Family Medicine Opportunity in Harrison, AR",j-563,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/family-practice-without-ob/19534567/outpatient-family-medicine-opportunity-in-harrison-ar,DocCafe,174,0
19534570,10/04/24,Physician,"Oncology-Medical Oncology","United States",Arkansas,"Mountain Home","Medical Oncologist Opportunity in Mountain Home, AR",j-595,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/oncology-medical-oncology/19534570/medical-oncologist-opportunity-in-mountain-home-ar,DocCafe,165,0
19534571,10/04/24,Physician,Otolaryngology,"United States",Arkansas,"Mountain Home","Ear, Nose, & Throat / Otolaryngology Position in Mountain Home, AR",j-596,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/otolaryngology/19534571/ear-nose-throat-otolaryngology-position-in-mountain-home-ar,DocCafe,188,0
19599646,11/08/24,Physician,Gastroenterology,"United States",Virginia,Charlottesville,"General Gastroenterologist - Charlottesville, VA",j-628,shari.hoffman@becastaffing.com,inactive,https://www.doccafe.com/job/physician/gastroenterology/19599646/general-gastroenterologist-charlottesville-va,DocCafe,182,2
